City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Crixas,BR,-14.5489,-49.9692,80.38,50,0,5.19,clear sky
233,Iqaluit,CA,63.7506,-68.5145,31.69,85,98,10.0,overcast clouds
234,Lorengau,PG,-2.0226,147.2712,79.25,84,96,3.4,light rain
235,Nacala,MZ,-14.5428,40.6728,70.09,82,0,6.49,clear sky
236,Mathathane,BW,-22.2687,28.7495,71.11,44,0,10.49,clear sky
237,Broome,US,42.2506,-75.833,48.58,76,75,11.5,broken clouds
238,Murray,US,40.6669,-111.888,79.74,17,0,8.05,clear sky
239,Vuktyl,RU,63.8567,57.3094,35.47,100,100,3.83,light rain
240,Dingle,PH,10.9995,122.6711,75.52,97,100,1.66,overcast clouds
241,Mayo,US,38.8876,-76.5119,56.95,53,75,10.36,broken clouds
242,Zlitan,LY,32.4674,14.5687,63.66,75,1,7.52,clear sky
243,Coquimbo,CL,-29.9533,-71.3436,58.73,77,0,11.5,clear sky
244,Padang,ID,-0.9492,100.3543,78.17,89,100,3.83,moderate rain
245,Tupik,RU,54.4253,119.9327,28.72,89,99,4.09,overcast clouds
246,Luanda,AO,-8.8368,13.2343,82.4,78,40,5.75,light rain
247,Florence,IT,43.7667,11.25,62.67,69,0,5.75,clear sky
248,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,80,10,15.46,clear sky
249,Kualakapuas,ID,-3.0091,114.3876,74.84,98,11,2.66,few clouds
250,Sampit,ID,-2.5333,112.95,74.79,99,36,0.49,scattered clouds
251,Bartica,GY,6.4,-58.6167,86.32,47,25,6.98,scattered clouds
252,Port Blair,IN,11.6667,92.75,83.97,76,77,4.81,broken clouds
253,Tenango,MX,18.65,-98.1833,93.47,19,60,7.85,broken clouds
254,Lao Cai,VN,22.4833,103.95,75.78,86,4,1.59,clear sky
255,Mar Del Plata,AR,-38.0023,-57.5575,65.95,41,0,8.05,clear sky
256,Katobu,ID,-4.9408,122.5276,75.65,95,100,5.48,heavy intensity rain
257,Koslan,RU,63.4564,48.8989,46.24,79,100,10.89,overcast clouds
258,Richards Bay,ZA,-28.783,32.0377,70.36,90,100,5.19,overcast clouds
259,Klangenan,ID,-6.7094,108.44,77.9,85,100,3.6,overcast clouds
260,Bom Jesus Da Lapa,BR,-13.255,-43.4181,86.41,42,0,2.59,clear sky
261,Notodden,NO,59.5594,9.2585,40.73,88,50,4.83,scattered clouds
262,Excelsior Springs,US,39.3392,-94.2261,71.98,14,0,8.05,clear sky
263,Sokoto,NG,13.0609,5.239,92.05,21,3,1.9,clear sky
264,The Valley,AI,18.217,-63.0578,85.86,74,20,13.8,few clouds
265,Aksarka,RU,66.5606,67.7975,31.66,95,100,4.05,overcast clouds
266,Tutoia,BR,-2.7619,-42.2744,81.75,79,98,10.42,overcast clouds
267,Las Vegas,US,36.175,-115.1372,82.27,14,0,24.16,clear sky
268,Ixtapa,MX,20.7,-105.2,79.83,65,100,12.66,overcast clouds
269,Talnakh,RU,69.4865,88.3972,33.21,95,100,9.82,light snow
270,Mahina,PF,-17.5065,-149.489,85.77,70,40,5.75,light rain
271,La Ronge,CA,55.1001,-105.2842,57.25,34,22,5.19,few clouds
272,Fruitvale,US,39.0817,-108.4968,78.04,19,0,6.91,clear sky
273,Faanui,PF,-16.4833,-151.75,82.83,78,24,17.31,light rain
274,Karratha,AU,-20.7377,116.8463,76.77,47,0,6.51,clear sky
275,Severodvinsk,RU,64.5635,39.8302,32.22,84,100,17.13,overcast clouds
276,Fukue,JP,32.6881,128.8419,62.29,90,100,21.18,moderate rain
277,Aracuai,BR,-16.8497,-42.0703,82.85,44,30,6.42,scattered clouds
278,Martapura,ID,-3.4167,114.85,75.29,100,40,1.14,mist
279,Sakakah,SA,29.9697,40.2064,76.93,18,0,15.03,clear sky
280,Dong Hoi,VN,17.4833,106.6,77.34,93,100,4.34,overcast clouds
281,Mirnyy,RU,62.5353,113.9611,28.24,50,82,11.01,broken clouds
